date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:18:07	37383/37383	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Dec%202022%2007:16:51%20GMT	https://www.socialturbo.online/?gclid=Cj0KCQiA7bucBhCeARIsAIOwr-8teOwtOWde0-J0eajOnOzfae-VeevkDUZCOEbkWrE2xpmbO5qaSJQaApffEALw_wcB	C:/Users/55519/Desktop/smmjkks/dfsdssddssdf/www.socialturbo.online/indexf94e.html	(from )
04:18:07	651/651	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Dec%202022%2007:16:51%20GMT	https://www.socialturbo.online/robots.txt		(from )
04:18:08	91425/91425	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Jun%202022%2018:01:21%20GMT	https://socialturbo.online/images/91dfde1d6e005e422f64a59776234f1f4c80b5e4.png	C:/Users/55519/Desktop/smmjkks/dfsdssddssdf/socialturbo.online/images/91dfde1d6e005e422f64a59776234f1f4c80b5e4.png	(from https://www.socialturbo.online/?gclid=Cj0KCQiA7bucBhCeARIsAIOwr-8teOwtOWde0-J0eajOnOzfae-VeevkDUZCOEbkWrE2xpmbO5qaSJQaApffEALw_wcB)
04:18:09	175751/175751	---M-Z	200	added ('OK')	text/css	date:Sun,%2029%20May%202022%2022:22:51%20GMT	https://socialturbo.online/css/panel/yeti/bootstrap.css	C:/Users/55519/Desktop/smmjkks/dfsdssddssdf/socialturbo.online/css/panel/yeti/bootstrap.css	(from https://www.socialturbo.online/?gclid=Cj0KCQiA7bucBhCeARIsAIOwr-8teOwtOWde0-J0eajOnOzfae-VeevkDUZCOEbkWrE2xpmbO5qaSJQaApffEALw_wcB)
04:18:09	66771/66771	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Jun%202022%2016:38:44%20GMT	https://socialturbo.online/css/panel/yeti/style.css	C:/Users/55519/Desktop/smmjkks/dfsdssddssdf/socialturbo.online/css/panel/yeti/style.css	(from https://www.socialturbo.online/?gclid=Cj0KCQiA7bucBhCeARIsAIOwr-8teOwtOWde0-J0eajOnOzfae-VeevkDUZCOEbkWrE2xpmbO5qaSJQaApffEALw_wcB)
04:18:09	21162/21162	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Dec%202021%2015:07:28%20GMT	https://socialturbo.online/js/datepicker/css/bootstrap-datepicker3.min.css	C:/Users/55519/Desktop/smmjkks/dfsdssddssdf/socialturbo.online/js/datepicker/css/bootstrap-datepicker3.min.css	(from https://www.socialturbo.online/?gclid=Cj0KCQiA7bucBhCeARIsAIOwr-8teOwtOWde0-J0eajOnOzfae-VeevkDUZCOEbkWrE2xpmbO5qaSJQaApffEALw_wcB)
04:18:09	174333/174333	---MCZ	200	added ('OK')	text/css	etag:W/%225fa3cb41-2a8fd%22	https://cdn.mypanel.link/css/font-awesome/css/all.min.css	C:/Users/55519/Desktop/smmjkks/dfsdssddssdf/cdn.mypanel.link/css/font-awesome/css/all.min.css	(from https://www.socialturbo.online/?gclid=Cj0KCQiA7bucBhCeARIsAIOwr-8teOwtOWde0-J0eajOnOzfae-VeevkDUZCOEbkWrE2xpmbO5qaSJQaApffEALw_wcB)
04:18:10	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-d17%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	C:/Users/55519/Desktop/smmjkks/dfsdssddssdf/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	(from https://www.socialturbo.online/?gclid=Cj0KCQiA7bucBhCeARIsAIOwr-8teOwtOWde0-J0eajOnOzfae-VeevkDUZCOEbkWrE2xpmbO5qaSJQaApffEALw_wcB)
04:18:10	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-3f5%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.min.css	C:/Users/55519/Desktop/smmjkks/dfsdssddssdf/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.min.css	(from https://www.socialturbo.online/?gclid=Cj0KCQiA7bucBhCeARIsAIOwr-8teOwtOWde0-J0eajOnOzfae-VeevkDUZCOEbkWrE2xpmbO5qaSJQaApffEALw_wcB)
04:18:11	69917/69917	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-1111d%22	https://code.jquery.com/jquery-3.3.1.slim.min.js	C:/Users/55519/Desktop/smmjkks/dfsdssddssdf/code.jquery.com/jquery-3.3.1.slim.min.js	(from https://www.socialturbo.online/?gclid=Cj0KCQiA7bucBhCeARIsAIOwr-8teOwtOWde0-J0eajOnOzfae-VeevkDUZCOEbkWrE2xpmbO5qaSJQaApffEALw_wcB)
